;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;96283
00008407e58ff005efcd89b6ac9e5a9de6b401d457cfc0532edfce250f7d6827;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;62665
0000ee00206b835db2395c530de382ffbd24685624cbfb4c5b1aebbb1c2701bc;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;220068
0000fb0df2c69f9d5b073b71ec7f98d8773098c9a6a5ee0b97ad33df8a98157c;miningbonus>1>null;fb3e
00007eac5ac0834f978926530680475ab40d985b17c0a2171dc441e3caafeca9;miningbonus>1>null;b629
000024991b29e0bbd0a8f3b4e666fcbb001297695fc943cff53a2abb5719eb2f;miningbonus>1>null;3ba
0000962b7536224417447b4f4a53e7edba271391a0369d4df9b66af495685257;miningbonus>1>null;51e8
00004ea8550a19e867088aaba6a39c0dd6294534eaf3f223a3d59a2ddf93f85f;miningbonus>1>null;b1b
0000552b08c063aedc4da001ffb00fde57746b93f8fd227c8e50eb6eaed71c3f;miningbonus>1>null;cb1f
000011d3ee34382b723b0a55e2968f2c50c6b5091c918f8ac92f27f64ee4d4f1;miningbonus>1>null;19439
00003907c4fefe4b13169b5416311efdf659c916c7e3ded7d6ad2edbc4a34d86;miningbonus>1>null;10957
0000a43521abeb344d30ef78356be75d4c555e2f1ab5f52eed858bbc4ef5c4d5;miningbonus>1>null;25cae
00002a9e04152e6d4a4fa50eea493bef58c3b3635a15c19cdca59139f0d999fd;miningbonus>1>null;1b0d
00006c31676e96dc16b0a04947b733260614e861c8393953cd043e0e5f8d15fb;miningbonus>1>null;33fd5
0000adb83aa7afffc5dcd0d3d0d1aeba4bed267ceace8dc4b3feb49746ac0c73;miningbonus>1>alestone;1ab0
0000e193ec0e400f19c06dad081ced7d0720431feac368c9cbf14c9a385dde1f;miningbonus>1>alestone;91ad
0000e281e4292d01c240edbe91f0172c8de8f873c4a24557d8221f3ad3a151cd;miningbonus>1>alestone;15d8b
00005f1593834e30eccde0f84a73b4d975621322aa4a7a5d39fd265c4adc852b;miningbonus>1>alestone;16612
0000939f403b5c2640ae499de56cd99fd5dbd4883b124c984669f3967229af25;miningbonus>1>alestone;a7da
000061dc663f4888c05613eea94124ca8788f7dcaeb6af3e8a9f6acbbde24e40;miningbonus>1>alestone;738a
0000d4af5c1516adc46b28c1acb3a764a71d816ee9b880d34cf68d44e8348181;miningbonus>1>alestone;14553
0000b93a3a128ebc923a3628d86726e6edf928c4ba8b27e243aeeabbd4b77bc2;miningbonus>1>alestone;3597
00008c32f07855236ec89abc9547a69c9a1d20426deeabbc746333a0ae0e6168;miningbonus>1>alestone;10c5f
0000f2f2d07d79a9b25eaca20e1110b3b67c890f6fcdd9e2a043a746adec84d6;miningbonus>1>alestone;2da37
0000a0293a9b482ee371f899a9f4aff6544e587d8474ec9d07ab275b6ff10430;miningbonus>1>alestone;3413
00005e4b17bb4fb9e80f09e64b006e667be2348aea686dc24954fdb6924b3ce4;miningbonus>1>alestone;140c7
000039a890dadfdfd17064e6c830eb59b42dbfe0277d6b595928098fe0d4e6f0;miningbonus>1>alestone;64b6
0000da33c263ab43eacf92f40100961a64ecb77ae0eec581b4dcf487ee900386;miningbonus>1>alestone;7c0c
0000e54d3627add6afb2ed956eb57d179b88f606dc93a8e37702ee7794662bdd;miningbonus>1>alestone;50d6
00004e1846ceaf80c984f66ee10c8f7b1ca9c16ae278a2bc16b245d588c1bdab;miningbonus>1>alestone;58fe
0000a6e7f3a798260bd4bbc35fa10e52082439f65556424b7e9b0571e6413053;miningbonus>1>alestone;20176
000086b0aaf4d8661cbbbb928a00223653a8c0ab03768901d38267ab41a6d542;miningbonus>1>alestone;df1d
00008ba2a367334e02009dc242e1856c66b2e57ad7907e06c603c4a7f8ded4ff;miningbonus>1>alestone;164ad
0000c79b6c7b8c499750eb365db6fd026392693209308680fd12032062b1a097;miningbonus>1>alestone;b971
0000e16c1c4da9d12b910e51bbcc97a72851aeafb571b5b4fa9e4887a16bd4e3;miningbonus>1>alestone;3b80
00000fdadc875b1dd3ac7774dbb01bf535980c586eb0f47939fe0a6a2e993805;miningbonus>1>alestone;33d2
0000a384c71f126711199f9e4c1aa0bd2cad8dad41c77694c1e251ff2fad8ecd;miningbonus>1>alestone;4675
00009ce521c28d870660a13c1efc844e6bb51b7b10b4ca80a844b9a34e3c954b;miningbonus>1>alestone;d299
00007a94cef48b462a22a42290d9ff18f35c8ff993ba070080c617f13893913c;miningbonus>1>alestone;6ca4
00005f086d7f7b87bee7d687f2086bf7b4ff898868ac8e59e95e931163321ca8;miningbonus>1>alestone;f5e
00003e3fdf0808509066edd59b14d2d52e18cfa1e347c3dfd2e524b6c3021c56;miningbonus>1>alestone;ef72
000039a890dadfdfd17064e6c830eb59b42dbfe0277d6b595928098fe0d4e6f0;miningbonus>1>null;4e87
000021aa0838231c9e5cf913d37e64a89c3f1bd64072eab49b558fd8174ae050;miningbonus>1>alestone;1d7b4
00003ee699a3f7d819b6307baa2d4b57b78b419dc8e20cd78878ae993a3d9ed7;miningbonus>1>alestone;12dde
0000957f55045d084c5b5a534f1ba90695f5412d6bc74e0a3131677b1aa54144;miningbonus>1>null;19f44
00001d5d6d971b4491cba8ffa910f17856fcf73910ce89cccd659d038bc8bec9;miningbonus>1>alestone;10fe8
000085ea288258e1184f2594b765311f0afd2e14c6499ec2b639e05bdc00e04a;miningbonus>1>alestone;2128
0000b273751ada2a9a98a5562f13df1f4e9ec998011e96f21324bb9124fc4b3c;miningbonus>1>null;14cb3
000021aa0838231c9e5cf913d37e64a89c3f1bd64072eab49b558fd8174ae050;miningbonus>1>null;12907
0000b7e222deef540dad3d164aaf5eef9ac67fac4b5e7af976049c2b503f2381;miningbonus>1>alestone;640d
0000eb19e7dd7ea02a1644d46db54c9e961cb53ba3f9e10bc665496553663538;miningbonus>1>null;52f6
0000aebcf3802f3c853d4f157e971fb36ab5bf7c3b3018a5e5f2866aeef271b4;miningbonus>1>alestone;4738
0000ac01c1a9fdb30f7556bf328566e44aaf0cb1e13e0864e66bba0850a980ac;miningbonus>1>null;d385
000046406dcd8b56ba96c6a83056cf277c3a72d68179c5f8fab625decfc6a1b1;miningbonus>1>alestone;f2dc
0000a988500ea2ec9b4109198fdd0bacfd63d9462502f40b78f03223f41a8fb2;miningbonus>1>null;19625
0000441286ba6832a049b10cee99066e8e377d73fe72114de7447622ae594760;miningbonus>1>null;8f2e
0000a753b165c5fd2d25e80e9288f6cc5e358de2ba55676c224ad95597a33d07;miningbonus>1>null;793d
000027992eaf350b4bc793a64fd18b1b674e627686e7e303e32339a9ae53db7f;miningbonus>1>null;1501
